Número,Nombre completo,Partido,Trabajó con Petro,Es cercano a Samuel Moreno,Tiene un vínculo directo o indirecto con el carrusel de la contratación,Tiene padrino político,Fue candidato presidencial,Es concejal,Fue concejal,Es víctima,Ha ocupado cargos públicos,Ha estado en más de dos partidos,Tiene maquinaria ,Es delfín,Es mujer,Es cabeza de lista,perfilito,Link foto
85,Aída Avella,UP,,,,,,,si,si,si,,si,,si,si,"La ex fórmula vicepresidencial de Clara López se lanzó como cabeza de lista de la resucitada UP que recuperó su personería jurídica en 2013. Antes había hecho campaña como candidata a la Presidencia. Además de ser una veterana del partido, es una líder sindical con amplio reconocimiento en los sectores de izquierda, fue dos veces concejal de Bogotá después de la Constituyente, hasta que abandonó el país cuando le hicieron un atentado con una bazuca en la autopista norte de Bogotá. Además, viene de hacer campaña a la Presidencia con Clara López, y sacar la segunda votación en Bogotá en la primera vuelta con 500.603 votos. Y de ser una de las víctimas que viajó a La Habana el año pasado para reunirse con los equipos negociadores de la paz.",http://lasillavacia.com/archivos/historias/concejobogota2015/85.jpg
82,Alejandro Rivera,Polo,,,,si,,,,,si,,si,,,,"Es el candidato de Marcha Patriótica al Concejo. Es abogado de Universidad Libre, profesor de partidos políticos en la Udca y es actual edil del Polo en Engativá.",http://lasillavacia.com/archivos/historias/concejobogota2015/82.jpg
94,Álvaro Acevedo,Liberal,,,,,,,,,,,si,,,,"Líder comunitario de Rafael Uribe Uribe. Se ha lanzado las dos últimas veces al Concejo y las dos se ha quemado, pero solo le han hecho falta unos tres mil votos que en estas elecciones parece que puede lograr. ",http://lasillavacia.com/archivos/historias/concejobogota2015/94.jpg
75,Álvaro Argote Muñoz,Polo,,si,,,,si,,,si,,,,,,"Es educador y sindicalista, concejal desde el 2003, muy cercano a Jaime Dussán. Llegó al Concejo tras quemarse cuando intentó llegar a la Cámara en 2002. Gracias a su liderazgo entre los maestros, hace cuatro años sacó 11 mil votos y este año quiere lograr su cuarto período en el Concejo. Fue uno de los que acompañó a Samuel Moreno durante su gobierno en la coalición que armó el Alcalde en el Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/75.jpg
100,Alvaro Mejía Bravo,Cambio Radical,,,,,,,si,,si,,,,,,Ex concejal por Cambio Radical en el 2004 y 2007. Hace cuatro años intentó reelegirse pero se quemó con 7.300 votos.,http://lasillavacia.com/archivos/historias/concejobogota2015/100.jpg
110,Andrés Alvarado Pérez,Conservador,,,,,,,,,si,,,,,,"Politólogo de la Universidad del Rosario. En 2004, fue asistente de asuntos comunitarios en Acnur y luego, fue asesor de la ex representante a la Cámara, Sandra Ceballos y acompañó la campaña del concejal Javier Palacios de La U en 2011, y hasta el 2013. También ha sido asesor del Ministerio de Ambiente.",http://lasillavacia.com/archivos/historias/concejobogota2015/110.jpg
5,Andrés Forero,Centro Democrático,,,,si,,,,,,,,,,,"Economista de la Universidad Católica de Chile. Llegó al país hace tres años y desde entonces se dedicó a trabajar en el sector privado como empresario. Es de un empresario reconocido en el sector de tubos de pvc. Es columnista, cofundador y subdirector de la revista digital La Otra Esquina de la hoy senadora Paloma Valencia. El año pasado aspiró a la Cámara por el Centro Democrático en Bogotá, en el puesto octavo, pero se quemó.",http://lasillavacia.com/archivos/historias/concejobogota2015/5.jpg
92,Andrés Giovanni Barrios,Liberal,,,,si,,,,,,,si,,,,"Es pastor cristiano, del grupo político de la senadora Viviane Morales. Su papá Alfredo Barrios es el Presidente del Centro Cristiano Empresarial Fe en Acción. ",http://lasillavacia.com/archivos/historias/concejobogota2015/92.jpg
90,Andrés Jiménez,La U,,,,si,,,,,si,,,,,,"Abogado y líder popular que se quemó en las elecciones al Concejo del 2003 con 1.703 votos y otra vez se quemó en el 2011 con 5.300 votos. Jiménez contruyó redes de apoyo en Kennedy y Usáquen ayudando a los vecinos con denuncias penales y defendiéndolos cuando van ser expropiados de sus lotes de invasión que ha ayudado a legalizar como contó La Silla. Es el candidato del ex representante a la Cámara, Wilson Gómez, quien se quemó el año pasado tratando de reelegirse y ya sin su padrino (porque ya no trabajan juntos), el ex concejal Hipólito Moreno, condenado por el carrusel de contratación que se robó Bogotá. Jiménez es amigo personal de Gómez y trabajó con él en su UTL en el Congreso. Además, según una fuente de La U, también tendría el apoyo del senador Roy Barreras. ",http://lasillavacia.com/archivos/historias/concejobogota2015/90.jpg
2,Angela Garzón Caicedo,Centro Democrático,,si,,si,,,,,si,,,si,si,,"La hija del ex vicepresidente Angelino Garzón, trabajó en la Alcaldía de Samuel Moreno como subdirectora de Proyección Internacional en la Dirección Distrital de Relaciones Internacionales. Además, fue secretaria de participación social del Partido Liberal, gerente nacional del Comité Social de la reelección de Santos, directora de los programas de equidad de género de los tres partidos de la Unidad Nacional e incluso sonó como candidata roja a la Cámara.",http://lasillavacia.com/archivos/historias/concejobogota2015/2.jpg
53,Angélica Marín,Alianza Verde,,,,,,,,,si,,si,,si,,"Tres veces edil de Chapinero, primero en el Polo pero después en los verdes. Ahora quiere dar el brinco al Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/53.jpg
93,Ángelo Gravier,Liberal,,,,,,,,,si,,si,,,,"Es actual edil de Kennedy que hace cuatro años sacó la primera votación del partido. Tiene el respaldo del ex representante a la Cámara cristiano, Orlando Velandia, que se quemó en el 2014 intentando brincar al Senado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/93.jpg
37,Antonio Sanguino Paéz,Alianza Verde,,,si,,,si,,,si,,,,,si,"Ex precandidato verde a la Alcaldía de Bogotá que perdió la consulta verde que dejó como ganador a Carlos Vicente de Roux. Repite en el primer puesto con el que hace cuatro años sacó más 18 mil votos y fue el segundo más votado de la lista del entonces Partido Verde. Esta es la tercera vez que  aspira al Concejo. Como líder de izquierda, su trayectoria política incluye haber militado en el ELN como instigador de luchas populares pero no como combatiente. Además, fue director de la Corporación Nuevo Arcoiris por más de 10 años. Hoy, además, es co-presidente de la Alianza Verde. Es sociólogo y tiene una maestría en desarrollo regional. ",http://lasillavacia.com/archivos/historias/concejobogota2015/37.jpg
116,Arbey Delgado Argote,Opción Ciudadana,,,,,,,,si,si,,,,,,"Ex sargento del Ejército retirado que estuvo secuestrado por las Farc entre 1998 y 2010, uno de los que más tiempo duró en manos de esa guerrilla.  Fue rescatado por el ejército en el sur del Guaviare en la misma operación del General Luis Mendieta. En 2014 aspiró al Senado por Cambio Radical y se retiró para apoyar al opita, Jorge Eduardo Gechem.",http://lasillavacia.com/archivos/historias/concejobogota2015/116.jpg
14,Armando Gutiérrez,Liberal,,si,si,,,si,,,si,,si,,,,"Es concejal actual del partido Liberal que llegó en reemplazó a Jorge Ernesto Salamanca, que renunció cuando fue imputado por haber participado en el Carrusel de la Contratación que se robó Bogotá. Aunque es muy cercano al ex representante Germán Olano y a su hermano Plinio, congresista de La U, esa cercanía no se ha traducido en muchos votos: se ha quemado en las dos últimas elecciones al Concejo (con 10 mil votos en las más recientes), aunque ya había ocupado una curul cuando reemplazó a Ángela Benedetti en febrero de 2011. Es decir, ha llegado las dos veces por rebote. Fue uno de los concejales que hizo parte de la coalición de gobierno de Samuel Moreno. Esta vez vuelve a aspirar, ahora como heredero de Salamanca, quien en 2011 sacó un poco más de 14 mil votos, y eso podría ayudarle a salvar su curul. Es abogado del Externado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/14.jpg
