name,thumbnail,url,jsLibIds,githubUrl,tags,release,examples,documentation,author
datamaps,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/datamaps.png,https://github.com/htmlwidgets/datamaps,"datamaps,d3",https://github.com/htmlwidgets/datamaps,"visualization,maps",alpha,,,ramnathv
rChartsCalmap,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/rChartsCalmap.png,https://github.com/ramnathv/rChartsCalmap,d3,https://github.com/ramnathv/rChartsCalmap,"visualization,calendar,heatmap",stable,,,ramnathv
leaflet,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/leaflet.png,http://rstudio.github.io/leaflet/,leaflet,https://github.com/rstudio/leaflet,"visualization,maps",stable,,,rstudio
DT,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/DT.png,http://rstudio.github.io/DT/,DT,https://github.com/rstudio/DT,tables,stable,,,rstudio
dygraphs,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/dygraphs.png,http://rstudio.github.io/dygraphs/,dygraphs,https://github.com/rstudio/dygraphs,"visualization,timeseries",stable,,,rstudio
metricsgraphics,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/metricsgraphics.png,http://hrbrmstr.github.io/metricsgraphics/,"metricsgraphicsjs,d3",https://github.com/hrbrmstr/metricsgraphs,"visualization,general",stable,,,hrbrmstr
streamgraph,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/streamgraph.png,http://hrbrmstr.github.io/streamgraph/,d3,https://github.com/hrbrmstr/streamgraph,"visualization,general",stable,,,hrbrmstr
networkD3,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/networkD3.png,http://christophergandrud.github.io/networkD3/,d3,http://github.com/christophergandrud/networkD3/,"visualization,networks",stable,,,christophergandrud
rthreejs,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/rthreejs.png,https://github.com/bwlewis/rthreejs,threejs,https://github.com/bwlewis/rthreejs,"visualization,3D",stable,,,bwlewis
DiagrammeR,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/DiagrammeR.png,http://rich-iannone.github.io/DiagrammeR/,"d3,viz,mermaid",http://rich-iannone.github.io/DiagrammeR/,"visualization,diagram",stable,,,rich-iannone
sigmaGraph,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/sigmaGraph.png,https://github.com/jpmarindiaz/sigmaGraph,sigma,https://github.com/jpmarindiaz/sigmaGraph,"visualization,networks",alpha,,,jpmarindiaz
bubbleCloud,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/bubbleCloud.png,https://github.com/jpmarindiaz/bubbleCloud,sigma,https://github.com/jpmarindiaz/bubbleCloud,"visualization,bubbles",alpha,,,jpmarindiaz
d3plus,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/d3Plus.png,https://github.com/jpmarindiaz/d3plus,"d3plus,d3",https://github.com/jpmarindiaz/d3plus,"visualization,networks",alpha,,,jpmarindiaz
isotope,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/isotope.png,https://github.com/jpmarindiaz/isotope,isotope,https://github.com/jpmarindiaz/isotope,grid,alpha,,,jpmarindiaz
