name,url,jsLibIds,githubUrl,tags,status,example
leaflet,http://rstudio.github.io/leaflet/,"leaflet",https://github.com/rstudio/leaflet,"visualization,maps",OK,
DT,http://rstudio.github.io/DT/,"DT",https://github.com/rstudio/DT,"tables",OK,
dygraphs,http://rstudio.github.io/dygraphs/,"dygraphs",https://github.com/rstudio/dygraphs,"visualization,timeseries",OK,
metricsgraphics,http://hrbrmstr.github.io/metricsgraphics/,"metricsgraphicsjs,d3",https://github.com/hrbrmstr/metricsgraphs,"visualization,general",OK,
networkD3,http://christophergandrud.github.io/networkD3/,"d3",http://github.com/christophergandrud/networkD3/,"visualization,networks",OK,
rthreejs,https://github.com/bwlewis/rthreejs,"threejs",https://github.com/bwlewis/rthreejs,"visualization,3D",OK,
DiagrammeR,http://rich-iannone.github.io/DiagrammeR/,"d3,viz,mermaid",http://rich-iannone.github.io/DiagrammeR/,"visualization,diagram",OK,
sigmaGraph,https://github.com/jpmarindiaz/sigmaGraph,"sigma",https://github.com/jpmarindiaz/sigmaGraph,"visualization,networks",experimental,
bubbleCloud,https://github.com/jpmarindiaz/bubbleCloud,"sigma",https://github.com/jpmarindiaz/bubbleCloud,"visualization,bubbles",experimental,
d3plus,https://github.com/jpmarindiaz/d3plus,"d3plus,d3",https://github.com/jpmarindiaz/d3plus,"visualization,networks",experimental,
isotope,https://github.com/jpmarindiaz/isotope,"isotope",https://github.com/jpmarindiaz/isotope,"grid",experimental,
D3TableFilter,https://github.com/ThomasSiegmund/D3TableFilter,"tableFilter,d3",https://github.com/ThomasSiegmund/D3TableFilter,"tables",OK,
rhandsontable,https://github.com/jrowen/rhandsontable/,"handsontable",https://github.com/jrowen/rhandsontable/,"tables",experimental,
rcdimple,https://github.com/timelyportfolio/rcdimple,"dimple,d3",https://github.com/timelyportfolio/rcdimple,"visualization,general",OK,http://www.buildingwidgets.com/blog/2015/3/18/week-11-dimple-as-htmlwidget,
datamaps,https://github.com/htmlwidgets/datamaps,"datamaps,d3",https://github.com/htmlwidgets/datamaps,"visualization,maps",OK,
